,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1975,Chainlink,LINK,chainlink,1958,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,11,,,,2025-03-19T11:07:00.000Z,14.193483047443841,335852409.8327882,-7.3889,0.94593351,2.2152806,6.94361547,-26.94421031,-40.76396777,-43.84729443,9326537291.097477,0.341,14193483047.44,,2025-03-19T11:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-03-19 16:37:40.596323
11,3957,UNUS SED LEO,LEO,unus-sed-leo,57,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,923908817.9,985239504.0,False,,12,,,,2025-03-19T11:07:00.000Z,9.799040337567625,2290206.69905366,-30.7225,0.13018515,0.02648493,-1.08489785,0.10955519,0.41097894,7.81566581,9053419774.836521,0.331,9654401641.86,,2025-03-19T11:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-03-19 16:37:40.596323
12,11419,Toncoin,TON,toncoin,699,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2481634291.929673,5125016311.543553,True,,13,,,,2025-03-19T11:07:00.000Z,3.5772378776978004,307626332.58700645,24.1774,-0.06528325,1.49109458,31.99196453,-6.24989407,-32.56543474,-34.15420804,8877396187.684587,0.3246,18333402473.47,,2025-03-19T11:07:00.000Z,,,,,,2025-03-19 16:37:40.596323
13,512,Stellar,XLM,stellar,689,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30754525091.81416,50001786892.81798,False,,14,,,,2025-03-19T11:07:00.000Z,0.27954047925199393,225587623.24309295,9.9395,0.61951709,3.59880849,9.8675275,-18.08496244,-38.62748853,-31.55924955,8597134683.333202,0.3143,13977529039.69,,2025-03-19T11:07:00.000Z,,,,,,2025-03-19 16:37:40.596323
14,4642,Hedera,HBAR,hedera,330,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1', 'made-in-america']",50000000000.0,42219399509.22208,50000000000.0,False,,15,,,,2025-03-19T11:07:00.000Z,0.1894841202735716,183833913.32619077,-17.8293,-0.00984839,1.62351685,-6.06530119,-14.20552712,-44.97764704,-35.72247842,7999905774.483405,0.2925,9474206013.68,,2025-03-19T11:07:00.000Z,,,,,,2025-03-19 16:37:40.596323
0,1,Bitcoin,BTC,bitcoin,11982,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19838946.0,19838946.0,False,,1,,,,2025-03-19T11:08:00.000Z,83438.1016768917,23811740577.869232,-4.8993,-0.18175084,0.92132439,1.13941646,-13.32668637,-18.9318849,-18.44476366,1655323993510.364,60.5339,1752200135214.73,,2025-03-19T11:08:00.000Z,,,,,,2025-03-19 16:38:41.641988
1,1027,Ethereum,ETH,ethereum,10057,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'avalanche-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120626702.52072309,120626702.52072309,True,,2,,,,2025-03-19T11:08:00.000Z,1981.8267906701983,11799899926.589134,12.7852,1.86639435,4.73346464,3.9009644,-28.03647766,-39.03697647,-46.4408147,239061230725.77335,8.7413,239061230725.77,,2025-03-19T11:08:00.000Z,,,,,,2025-03-19 16:38:41.641988
2,825,Tether USDt,USDT,tether,120287,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'heco-ecosystem', 'algorand-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'terra-ecosystem', 'tezos-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'zilliqa-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'cronos-ecosystem', 'injective-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'xdc-ecosystem', 'everscale-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'klaytn-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'boba-network-ecosystem', 'fusion-network-ecosystem', 'hoo-smart-chain-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'cube-network-ecosystem', 'thundercore-ecosystem', 'redlight-chain-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'eos-evm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'manta-pacific-ecosystem', 'scroll-ecosystem', 'x-layer-ecosystem', 'world-liberty-financial-portfolio']",,143439068011.01245,144881908961.7996,True,,3,,,,2025-03-19T11:07:00.000Z,0.9999859881040417,55269347704.779495,-3.9119,0.00250592,-0.03932717,0.01402746,-0.01381906,0.04587521,0.04809563,143437058157.71512,5.2447,144879878891.56,,2025-03-19T11:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-03-19 16:38:41.641988
3,52,XRP,XRP,xrp,1554,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58108919817.0,99986343905.0,False,,4,,,,2025-03-19T11:08:00.000Z,2.310588441312161,3012965629.8506837,-16.0078,-0.26717969,1.8143111,5.65363823,-13.80617641,-25.71843837,-4.03487229,134265798466.29538,4.9094,231058844131.22,,2025-03-19T11:08:00.000Z,,,,,,2025-03-19 16:38:41.641988
4,1839,BNB,BNB,bnb,2394,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142474085.52,142474085.52,False,,5,,,,2025-03-19T11:08:00.000Z,615.933011573561,1907526332.9192085,-14.8342,0.15771904,-3.00614979,10.11523678,-7.76747805,-11.77174418,-12.17883414,87754492565.52269,3.2087,87754492565.52,,2025-03-19T11:08:00.000Z,,,,,,2025-03-19 16:38:41.641988
